,ST_CASE,HARM_EV_2015
71,10072,Pedestrian
72,10073,Pedestrian
73,10074,Concrete Traffic Barrier
74,10075,Motor Vehicle In-Transport
75,10076,Other Object (Not Fixed)
76,10077,Pedestrian
77,10078,Rollover/Overturn
78,10079,Bridge Pier or Support
79,10080,Embankment
80,10081,Motor Vehicle In-Transport
81,10082,Rollover/Overturn
82,10083,Motor Vehicle In-Transport
83,10084,Motor Vehicle In-Transport
84,10085,Ditch
85,10086,Motor Vehicle In-Transport
86,10087,Tree (Standing Only)
87,10088,Pedestrian
88,10089,Tree (Standing Only)
89,10090,Pedestrian
90,10091,Motor Vehicle In-Transport
91,10092,Rollover/Overturn
92,10093,Motor Vehicle In-Transport
93,10094,Bridge Pier or Support
94,10095,Motor Vehicle In-Transport
95,10096,Tree (Standing Only)
96,10097,Motor Vehicle In-Transport
97,10098,Pedestrian
98,10099,Culvert
99,10101,Rollover/Overturn
100,10102,Concrete Traffic Barrier
101,10103,Mail Box
102,10104,Motor Vehicle In-Transport
103,10105,Tree (Standing Only)
104,10106,Tree (Standing Only)
105,10107,Motor Vehicle In-Transport
106,10108,Motor Vehicle In-Transport
107,10109,Motor Vehicle In-Transport
108,10110,Tree (Standing Only)
109,10111,Embankment
110,10112,Tree (Standing Only)
111,10113,Pedestrian
112,10114,Motor Vehicle In-Transport
113,10115,Rollover/Overturn
114,10116,Motor Vehicle In-Transport
115,10117,Motor Vehicle In-Transport
116,10118,Utility Pole/Light Support
117,10119,Motor Vehicle In-Transport
118,10120,Motor Vehicle In-Transport
119,10121,Motor Vehicle In-Transport
120,10122,Ditch
121,10123,Motor Vehicle In-Transport
122,10124,Pedestrian
123,10125,Fence
124,10126,Motor Vehicle In-Transport
125,10127,Motor Vehicle In-Transport
126,10128,Pedestrian
127,10129,Motor Vehicle In-Transport
128,10130,Motor Vehicle In-Transport
129,10131,Pedestrian
130,10132,Motor Vehicle In-Transport
131,10133,Motor Vehicle In-Transport
132,10134,Motor Vehicle In-Transport
133,10135,Motor Vehicle In-Transport
134,10136,Tree (Standing Only)
135,10137,Pedestrian
136,10138,Motor Vehicle In-Transport
137,10139,Motor Vehicle In-Transport
138,10140,Motor Vehicle In-Transport
139,10141,Motor Vehicle In-Transport
140,10142,Tree (Standing Only)
141,10143,Motor Vehicle In-Transport
142,10144,Motor Vehicle In-Transport
143,10145,Motor Vehicle In-Transport
144,10146,Motor Vehicle In-Transport
145,10147,Motor Vehicle In-Transport
146,10148,Pedestrian
147,10149,Tree (Standing Only)
148,10150,Motor Vehicle In-Transport
149,10151,Ditch
150,10152,Motor Vehicle In-Transport
151,10153,Motor Vehicle In-Transport
152,10154,Bridge Pier or Support
153,10155,Curb
154,10156,Guardrail End
155,10157,Concrete Traffic Barrier
156,10158,Motor Vehicle In-Transport
157,10159,Tree (Standing Only)
158,10160,Pedestrian
159,10161,Motor Vehicle In-Transport
160,10162,Pedestrian
161,10163,Motor Vehicle In-Transport
162,10164,Tree (Standing Only)
163,10165,Motor Vehicle In-Transport
164,10166,Tree (Standing Only)
165,10167,Mail Box
166,10168,Tree (Standing Only)
167,10169,Motor Vehicle In-Transport
168,10170,Motor Vehicle In-Transport
169,10171,Motor Vehicle In-Transport
170,10172,Motor Vehicle In-Transport
171,10173,Motor Vehicle In-Transport
172,10174,Motor Vehicle In-Transport
173,10175,Tree (Standing Only)
174,10176,Utility Pole/Light Support
175,10177,Motor Vehicle In-Transport
176,10178,Pedestrian
177,10179,Motor Vehicle In-Transport
178,10180,Motor Vehicle In-Transport
179,10181,Culvert
180,10182,Motor Vehicle In-Transport
181,10183,Pedestrian
182,10184,Culvert
183,10185,Railway Vehicle
184,10186,Embankment
185,10187,Tree (Standing Only)
186,10188,Motor Vehicle In-Transport
187,10189,Motor Vehicle In-Transport
188,10190,Motor Vehicle In-Transport
189,10191,Rollover/Overturn
190,10192,Rollover/Overturn
191,10193,Motor Vehicle In-Transport
192,10194,Motor Vehicle In-Transport
193,10195,Motor Vehicle In-Transport
194,10196,Tree (Standing Only)
195,10197,Motor Vehicle In-Transport
196,10198,Motor Vehicle In-Transport
197,10199,Motor Vehicle In-Transport
198,10200,Motor Vehicle In-Transport
199,10201,Culvert
200,10202,Motor Vehicle In-Transport
201,10203,Motor Vehicle In-Transport
202,10204,Rollover/Overturn
203,10205,Guardrail End
204,10206,Pedestrian
205,10207,Motor Vehicle In-Transport
206,10208,Pedestrian
207,10209,Motor Vehicle In-Transport
208,10210,Rollover/Overturn
209,10211,Motor Vehicle In-Transport
210,10212,Guardrail End
211,10213,Motor Vehicle In-Transport
212,10214,Motor Vehicle In-Transport
213,10215,Curb
214,10216,Rollover/Overturn
215,10217,Fence
216,10218,Motor Vehicle In-Transport
217,10219,Motor Vehicle In-Transport
218,10220,Tree (Standing Only)
219,10221,Tree (Standing Only)
220,10222,Guardrail Face
221,10223,Motor Vehicle In-Transport
222,10224,Pedestrian
223,10225,Motor Vehicle In-Transport
224,10226,Ditch
225,10227,Rollover/Overturn
226,10228,Mail Box
227,10229,Motor Vehicle In-Transport
228,10230,Tree (Standing Only)
229,10231,Rollover/Overturn
230,10232,Tree (Standing Only)
231,10233,Guardrail Face
232,10234,Parked Motor Vehicle
233,10235,Concrete Traffic Barrier
234,10236,Rollover/Overturn
235,10237,Utility Pole/Light Support
236,10238,Embankment
237,10239,Rollover/Overturn
238,10240,Ditch
239,10241,Motor Vehicle In-Transport
240,10242,Tree (Standing Only)
241,10243,Rollover/Overturn
242,10244,Motor Vehicle In-Transport
243,10245,Rollover/Overturn
244,10246,Traffic Sign Support
245,10247,Pedestrian
246,10248,Tree (Standing Only)
247,10249,Rollover/Overturn
248,10250,Motor Vehicle In-Transport
249,10251,Motor Vehicle In-Transport
250,10252,Rollover/Overturn
251,10253,Motor Vehicle In-Transport
252,10254,Embankment
253,10255,Tree (Standing Only)
254,10256,Pedestrian
255,10257,Embankment
256,10258,Motor Vehicle In-Transport
257,10259,Motor Vehicle In-Transport
258,10260,Tree (Standing Only)
259,10261,Guardrail Face
260,10262,Rollover/Overturn
261,10263,Motor Vehicle In-Transport
262,10264,Pedestrian
263,10265,Motor Vehicle In-Transport
264,10266,Motor Vehicle In-Transport
265,10267,Motor Vehicle In-Transport
266,10268,Pedalcyclist
267,10269,Motor Vehicle In-Transport
268,10270,Motor Vehicle In-Transport
269,10271,Motor Vehicle In-Transport
270,10272,Motor Vehicle In-Transport
271,10273,Embankment
272,10274,Ditch
273,10275,Culvert
274,10276,Embankment
275,10277,Motor Vehicle In-Transport
276,10278,Parked Motor Vehicle
277,10279,Motor Vehicle In-Transport
278,10280,Motor Vehicle In-Transport
279,10281,Guardrail Face
280,10282,Pedestrian
281,10283,Pedestrian
282,10284,Motor Vehicle In-Transport
283,10285,Motor Vehicle In-Transport
284,10286,Motor Vehicle In-Transport
285,10287,Motor Vehicle In-Transport
286,10288,Rollover/Overturn
287,10289,Fire Hydrant
288,10290,Motor Vehicle In-Transport
289,10291,Pedalcyclist
290,10292,Pedestrian
291,10293,Culvert
292,10294,Mail Box
293,10295,Traffic Sign Support
294,10296,Traffic Sign Support
295,10297,Motor Vehicle In-Transport
296,10298,Pedestrian
297,10299,Motor Vehicle In-Transport
298,10300,Pedestrian
299,10301,Utility Pole/Light Support
300,10302,Embankment
301,10303,Motor Vehicle In-Transport
302,10304,Motor Vehicle In-Transport
303,10305,Parked Motor Vehicle
304,10306,Motor Vehicle In-Transport
305,10307,Guardrail End
306,10308,Rollover/Overturn
307,10309,Motor Vehicle In-Transport
308,10310,Fence
309,10311,Curb
310,10312,Tree (Standing Only)
311,10313,Ditch
312,10314,Motor Vehicle In-Transport
313,10315,Bridge Rail (Includes Parapet)
314,10316,Embankment
315,10317,Guardrail Face
316,10318,Bridge Pier or Support
317,10319,Motor Vehicle In-Transport
318,10320,Motor Vehicle In-Transport
319,10321,Motor Vehicle In-Transport
320,10322,Motor Vehicle In-Transport
321,10323,Tree (Standing Only)
322,10324,Motor Vehicle In-Transport
323,10325,Rollover/Overturn
324,10326,Tree (Standing Only)
325,10327,Rollover/Overturn
326,10328,Guardrail Face
327,10329,Motor Vehicle In-Transport
328,10330,Rollover/Overturn
329,10331,Culvert
330,10332,Motor Vehicle In-Transport
331,10333,Motor Vehicle In-Transport
332,10334,Embankment
333,10335,Tree (Standing Only)
334,10336,Embankment
335,10337,Motor Vehicle In-Transport
336,10338,Tree (Standing Only)
337,10339,Motor Vehicle In-Transport
338,10340,Embankment
339,10341,Tree (Standing Only)
340,10342,Motor Vehicle In-Transport
341,10343,Motor Vehicle In-Transport
342,10344,Rollover/Overturn
343,10345,Rollover/Overturn
344,10346,Curb
345,10347,Motor Vehicle In-Transport
346,10348,Motor Vehicle In-Transport
347,10349,Motor Vehicle In-Transport
348,10350,Motor Vehicle In-Transport
349,10351,Embankment
350,10352,Motor Vehicle In-Transport
351,10353,Motor Vehicle In-Transport
352,10354,Tree (Standing Only)
353,10355,Tree (Standing Only)
354,10356,Motor Vehicle In-Transport
355,10357,Pedestrian
356,10358,Rollover/Overturn
357,10359,Motor Vehicle In-Transport
358,10360,Motor Vehicle In-Transport
359,10361,Tree (Standing Only)
360,10362,Tree (Standing Only)
361,10363,Rollover/Overturn
362,10364,Motor Vehicle In-Transport
363,10365,Pedalcyclist
364,10366,Embankment
365,10367,Guardrail Face
366,10368,Motor Vehicle In-Transport
367,10369,Pedestrian
368,10370,Motor Vehicle In-Transport
369,10371,Motor Vehicle In-Transport
370,10372,Motor Vehicle In-Transport
371,10373,Motor Vehicle In-Transport
372,10374,Motor Vehicle In-Transport
373,10375,Ditch
374,10376,Tree (Standing Only)
375,10377,Motor Vehicle In-Transport
376,10378,Rollover/Overturn
377,10379,Embankment
378,10380,Other Fixed Object
379,10381,Pedestrian
380,10382,Traffic Sign Support
381,10383,Tree (Standing Only)
382,10384,Motor Vehicle In-Transport
383,10385,Motor Vehicle In-Transport
384,10386,Motor Vehicle In-Transport
385,10387,Motor Vehicle In-Transport
386,10388,Tree (Standing Only)
387,10389,Motor Vehicle In-Transport
388,10390,Rollover/Overturn
389,10391,Motor Vehicle In-Transport
390,10392,Utility Pole/Light Support
391,10393,Motor Vehicle In-Transport
392,10394,Culvert
393,10395,Motor Vehicle In-Transport
394,10396,Tree (Standing Only)
395,10397,Motor Vehicle In-Transport
396,10398,Tree (Standing Only)
397,10399,Pedestrian
398,10400,Motor Vehicle In-Transport
399,10401,Motor Vehicle In-Transport
400,10402,Traffic Sign Support
401,10403,Motor Vehicle In-Transport
402,10404,Tree (Standing Only)
403,10405,Motor Vehicle In-Transport
404,10406,Traffic Sign Support
405,10407,Ditch
406,10408,Other Object (Not Fixed)
407,10409,Motor Vehicle In-Transport
408,10410,Motor Vehicle In-Transport
409,10411,Motor Vehicle In-Transport
410,10412,Ditch
411,10413,Pedestrian
412,10414,Pedestrian
413,10415,Tree (Standing Only)
414,10416,Motor Vehicle In-Transport
415,10417,Ditch
416,10418,Motor Vehicle In-Transport
417,10419,Motor Vehicle In-Transport
418,10420,Motor Vehicle In-Transport
419,10421,Motor Vehicle In-Transport
420,10422,Embankment
421,10423,Motor Vehicle In-Transport
422,10424,Tree (Standing Only)
423,10425,Motor Vehicle In-Transport
424,10426,Pedestrian
425,10427,Tree (Standing Only)
426,10428,Ditch
427,10429,Pedestrian
428,10430,Rollover/Overturn
429,10431,Rollover/Overturn
430,10432,Tree (Standing Only)
431,10433,Curb
432,10434,Tree (Standing Only)
433,10435,Rollover/Overturn
434,10436,Guardrail End
435,10437,Rollover/Overturn
436,10438,Motor Vehicle In-Transport
437,10439,Tree (Standing Only)
438,10440,Motor Vehicle In-Transport
439,10441,Motor Vehicle In-Transport
440,10442,Pedestrian
441,10443,Rollover/Overturn
442,10444,Tree (Standing Only)
443,10445,Pedestrian
444,10446,Pedestrian
445,10447,Rollover/Overturn
446,10448,Rollover/Overturn
447,10449,Pedestrian
448,10450,Motor Vehicle In-Transport
449,10451,Motor Vehicle In-Transport
450,10452,Curb
451,10453,Embankment
452,10454,Motor Vehicle In-Transport
453,10455,Rollover/Overturn
454,10456,Embankment
455,10457,Culvert
456,10458,Tree (Standing Only)
457,10459,Ditch
458,10460,Motor Vehicle In-Transport
459,10461,Embankment
460,10462,Traffic Sign Support
461,10463,Motor Vehicle In-Transport
462,10464,Motor Vehicle In-Transport
463,10465,Pedestrian
464,10466,Motor Vehicle In-Transport
465,10467,Motor Vehicle In-Transport
466,10468,Parked Motor Vehicle
467,10469,Motor Vehicle In-Transport
468,10470,Culvert
469,10471,Pedestrian
470,10472,Motor Vehicle In-Transport
471,10473,Motor Vehicle In-Transport
472,10474,Motor Vehicle In-Transport
473,10475,Rollover/Overturn
474,10476,Pedalcyclist
475,10477,Ditch
476,10478,Motor Vehicle In-Transport
477,10479,Fence
478,10480,Rollover/Overturn
479,10481,Rollover/Overturn
480,10482,Embankment
481,10483,Motor Vehicle In-Transport
482,10484,Motor Vehicle In-Transport
483,10485,Tree (Standing Only)
484,10486,Motor Vehicle In-Transport
485,10487,Tree (Standing Only)
486,10488,Rollover/Overturn
487,10489,Pedestrian
488,10490,Motor Vehicle In-Transport
489,10491,Motor Vehicle In-Transport
490,10492,Utility Pole/Light Support
491,10493,Traffic Sign Support
492,10494,Motor Vehicle In-Transport
493,10495,Embankment
494,10496,Other Object (Not Fixed)
495,10497,Motor Vehicle In-Transport
496,10498,Pedestrian
497,10499,Motor Vehicle In-Transport
498,10500,Tree (Standing Only)
499,10501,Motor Vehicle In-Transport
500,10502,Motor Vehicle In-Transport
501,10503,Tree (Standing Only)
502,10504,Embankment
503,10505,Motor Vehicle In-Transport
504,10506,Bridge Pier or Support
505,10507,Motor Vehicle In-Transport
506,10508,Tree (Standing Only)
507,10509,Motor Vehicle In-Transport
508,10510,Guardrail Face
509,10511,Ditch
510,10512,Parked Motor Vehicle
511,10513,Motor Vehicle In-Transport
512,10514,Other Fixed Object
513,10515,Tree (Standing Only)
514,10516,Traffic Sign Support
515,10517,Guardrail Face
516,10518,Tree (Standing Only)
517,10519,Tree (Standing Only)
518,10520,Pedestrian
519,10521,Motor Vehicle In-Transport
520,10522,Motor Vehicle In-Transport
521,10523,Tree (Standing Only)
522,10524,Railway Vehicle
523,10525,Motor Vehicle In-Transport
524,10526,Tree (Standing Only)
525,10527,Rollover/Overturn
526,10528,Pedestrian
527,10529,Pedestrian
528,10530,Motor Vehicle In-Transport
529,10531,Tree (Standing Only)
530,10532,Motor Vehicle In-Transport
531,10533,Pedestrian
532,10534,Motor Vehicle In-Transport
533,10535,Motor Vehicle In-Transport
534,10536,Rollover/Overturn
535,10537,Motor Vehicle In-Transport
536,10538,Culvert
537,10539,Motor Vehicle In-Transport
538,10540,Rollover/Overturn
539,10541,Tree (Standing Only)
540,10542,Tree (Standing Only)
541,10543,Pedestrian
542,10544,Motor Vehicle In-Transport
543,10545,Motor Vehicle In-Transport
544,10546,Motor Vehicle In-Transport
545,10547,Pedestrian
546,10548,Motor Vehicle In-Transport
547,10549,Motor Vehicle In-Transport
548,10550,Pedestrian
549,10551,Embankment
550,10552,Pedestrian
551,10553,Motor Vehicle In-Transport
552,10554,Motor Vehicle In-Transport
553,10555,Tree (Standing Only)
554,10556,Tree (Standing Only)
555,10557,Ditch
556,10558,Parked Motor Vehicle
557,10559,Pedestrian
558,10560,Motor Vehicle In-Transport
559,10561,Tree (Standing Only)
560,10562,Motor Vehicle In-Transport
561,10563,Railway Vehicle
562,10564,Pedalcyclist
563,10565,Pedestrian
564,10566,Tree (Standing Only)
565,10567,Motor Vehicle In-Transport
566,10568,Tree (Standing Only)
567,10569,Pedestrian
568,10570,Motor Vehicle In-Transport
569,10571,Motor Vehicle In-Transport
570,10572,Ditch
571,10573,Tree (Standing Only)
572,10574,Embankment
573,10575,Ditch
574,10576,Parked Motor Vehicle
575,10577,Motor Vehicle In-Transport
576,10578,Motor Vehicle In-Transport
577,10579,Mail Box
578,10580,Motor Vehicle In-Transport
579,10581,Culvert
580,10582,Pedestrian
581,10583,Motor Vehicle In-Transport
582,10584,Motor Vehicle In-Transport
583,10585,Pedestrian
584,10586,Fence
585,10587,Ditch
586,10588,Motor Vehicle In-Transport
587,10589,Mail Box
588,10590,Pedestrian
589,10591,Rollover/Overturn
590,10592,Motor Vehicle In-Transport
591,10593,Rollover/Overturn
592,10594,Motor Vehicle In-Transport
593,10595,Motor Vehicle In-Transport
594,10596,Parked Motor Vehicle
595,10597,Pedalcyclist
596,10598,Curb
597,10599,Pedalcyclist
598,10600,Rollover/Overturn
599,10601,Motor Vehicle In-Transport
600,10602,Motor Vehicle In-Transport
601,10603,Tree (Standing Only)
602,10604,Ditch
603,10605,Tree (Standing Only)
604,10606,Embankment
605,10607,Motor Vehicle In-Transport
606,10608,Working Motor Vehicle
607,10609,Pedestrian
608,10610,Motor Vehicle In-Transport
609,10611,Rollover/Overturn
610,10612,Bridge Rail (Includes Parapet)
611,10613,Rollover/Overturn
612,10614,Motor Vehicle In-Transport
613,10615,Motor Vehicle In-Transport
614,10616,Tree (Standing Only)
615,10617,Ditch
616,10618,Pedalcyclist
617,10619,Fence
618,10620,Traffic Sign Support
619,10621,Tree (Standing Only)
620,10622,Pedestrian
621,10623,Motor Vehicle In-Transport
622,10624,Mail Box
623,10625,Guardrail End
624,10626,Motor Vehicle In-Transport
625,10627,Railway Vehicle
626,10628,Ditch
627,10629,Pedestrian
628,10630,Utility Pole/Light Support
629,10631,Motor Vehicle In-Transport
630,10632,Rollover/Overturn
631,10633,Rollover/Overturn
632,10634,Ditch
633,10635,Motor Vehicle In-Transport
634,10636,Motor Vehicle In-Transport
635,10637,Tree (Standing Only)
636,10638,Tree (Standing Only)
637,10639,Pedestrian
638,10640,Motor Vehicle In-Transport
639,10641,Tree (Standing Only)
640,10642,Tree (Standing Only)
641,10643,Tree (Standing Only)
642,10644,Culvert
643,10645,Motor Vehicle In-Transport
644,10646,Rollover/Overturn
645,10647,Pedestrian
646,10648,Ditch
647,10649,Parked Motor Vehicle
648,10650,Motor Vehicle In-Transport
649,10651,Motor Vehicle In-Transport
650,10652,Tree (Standing Only)
651,10653,Culvert
652,10654,Tree (Standing Only)
653,10655,Motor Vehicle In-Transport
654,10656,Motor Vehicle In-Transport
655,10657,Rollover/Overturn
656,10658,Curb
657,10659,Culvert
658,10660,Ditch
659,10661,Pedestrian
660,10662,Pedestrian
661,10663,Motor Vehicle In-Transport
662,10664,Motor Vehicle In-Transport
663,10665,Embankment
664,10666,Other Object (Not Fixed)
665,10667,Tree (Standing Only)
666,10668,Motor Vehicle In-Transport
667,10669,Pedestrian
668,10670,Pedestrian
669,10671,Tree (Standing Only)
670,10672,Motor Vehicle In-Transport
671,10673,Motor Vehicle In-Transport
672,10674,Pedestrian
673,10675,Motor Vehicle In-Transport
674,10676,Tree (Standing Only)
675,10677,Motor Vehicle In-Transport
676,10678,Rollover/Overturn
677,10679,Tree (Standing Only)
678,10680,Motor Vehicle In-Transport
679,10681,Motor Vehicle In-Transport
680,10682,Bridge Pier or Support
681,10683,Motor Vehicle In-Transport
682,10684,Rollover/Overturn
683,10685,Culvert
684,10686,Motor Vehicle In-Transport
685,10687,Tree (Standing Only)
686,10688,Motor Vehicle In-Transport
687,10689,Rollover/Overturn
688,10690,Motor Vehicle In-Transport
689,10691,Motor Vehicle In-Transport
690,10692,Embankment
691,10693,Utility Pole/Light Support
692,10694,Parked Motor Vehicle
693,10695,Motor Vehicle In-Transport
694,10696,Tree (Standing Only)
695,10697,Motor Vehicle In-Transport
696,10698,Motor Vehicle In-Transport
697,10699,Ditch
698,10700,Rollover/Overturn
699,10701,Motor Vehicle In-Transport
700,10702,Pedestrian
701,10703,Motor Vehicle In-Transport
702,10704,Motor Vehicle In-Transport
703,10705,Utility Pole/Light Support
704,10706,Other Object (Not Fixed)
705,10707,Motor Vehicle In-Transport
706,10708,Pedestrian
707,10709,Embankment
708,10710,Tree (Standing Only)
709,10711,Tree (Standing Only)
710,10712,Motor Vehicle In-Transport
711,10713,Pedestrian
712,10714,Tree (Standing Only)
713,10715,Pedestrian
714,10716,Tree (Standing Only)
715,10717,Motor Vehicle In-Transport
716,10718,Motor Vehicle In-Transport
717,10719,Culvert
718,10720,Motor Vehicle In-Transport
719,10721,Motor Vehicle In-Transport
720,10722,Motor Vehicle In-Transport
721,10723,Tree (Standing Only)
722,10724,Utility Pole/Light Support
723,10725,Rollover/Overturn
724,10726,Ditch
725,10727,Motor Vehicle In-Transport
726,10728,Pedestrian
727,10729,Embankment
728,10730,Motor Vehicle In-Transport
729,10731,Motor Vehicle In-Transport
730,10732,Mail Box
731,10733,Embankment
732,10734,Pedestrian
733,10735,Pedestrian
734,10736,Pedestrian
735,10737,Utility Pole/Light Support
736,10738,Pedalcyclist
737,10739,Motor Vehicle In-Transport
738,10740,Ditch
739,10741,Motor Vehicle In-Transport
740,10742,Live Animal
741,10743,Culvert
742,10744,Motor Vehicle In-Transport
743,10745,Embankment
744,10746,Motor Vehicle In-Transport
745,10747,Utility Pole/Light Support
746,10748,Fell/Jumped from Vehicle
747,10749,Tree (Standing Only)
748,10750,Motor Vehicle In-Transport
749,10751,Wall
750,10752,Tree (Standing Only)
751,10753,Motor Vehicle In-Transport
752,10754,Motor Vehicle In-Transport
753,10755,Motor Vehicle In-Transport
754,10756,Pedestrian
755,10757,Pedestrian
756,10758,Pedestrian
757,10759,Tree (Standing Only)
758,10760,Motor Vehicle In-Transport
759,10761,Motor Vehicle In-Transport
760,10762,Motor Vehicle In-Transport
761,10763,Motor Vehicle In-Transport
762,10764,Wall
763,10765,Ditch
764,10766,Pedestrian
765,10767,Motor Vehicle In-Transport
766,10768,Ditch
767,10769,Pedestrian
768,10770,Motor Vehicle In-Transport
769,10771,Rollover/Overturn
770,10772,Concrete Traffic Barrier
771,10773,Motor Vehicle In-Transport
772,10774,Ditch
773,10775,Ditch
774,10776,Motor Vehicle In-Transport
775,10777,Motor Vehicle In-Transport
776,10778,Motor Vehicle In-Transport
777,10779,Motor Vehicle In-Transport
778,10780,Live Animal
779,10781,Ditch
780,10782,Rollover/Overturn
781,10783,Pedestrian
782,10784,Fence
783,10785,Tree (Standing Only)
784,20001,Traffic Sign Support
785,20002,Pedestrian
786,20003,Tree (Standing Only)
787,20004,Rollover/Overturn
788,20005,Pedestrian
789,20006,Motor Vehicle In-Transport
790,20007,Rollover/Overturn
791,20008,Pedestrian
792,20009,Motor Vehicle In-Transport
793,20010,Tree (Standing Only)
794,20011,Embankment
795,20012,Rollover/Overturn
796,20013,Curb
797,20014,Ditch
798,20015,Motor Vehicle In-Transport
799,20016,Motor Vehicle In-Transport
800,20017,Embankment
801,20018,Rollover/Overturn
802,20019,Motor Vehicle In-Transport
803,20020,Shrubbery
804,20021,Tree (Standing Only)
805,20022,Rollover/Overturn
806,20023,Mail Box
807,20024,Rollover/Overturn
808,20025,Rollover/Overturn
809,20026,Other Object (Not Fixed)
810,20027,Motor Vehicle In-Transport
811,20028,Motor Vehicle In-Transport
812,20029,Wall
813,20030,Motor Vehicle In-Transport
814,20031,Motor Vehicle In-Transport
815,20032,Pedestrian
816,20033,Pedestrian
817,20034,Motor Vehicle In-Transport
818,20035,Motor Vehicle In-Transport
819,20036,Motor Vehicle In-Transport
820,20037,Rollover/Overturn
821,20038,Tree (Standing Only)
822,20039,Other Fixed Object
823,20040,Motor Vehicle In-Transport
824,20041,Guardrail Face
825,20042,Pedestrian
826,20043,Pedestrian
827,20044,Motor Vehicle In-Transport
828,20045,Rollover/Overturn
829,20046,Curb
830,20047,Live Animal
831,20048,Live Animal
832,20049,Live Animal
833,20050,Motor Vehicle In-Transport
834,20051,Pedestrian
835,20052,Motor Vehicle In-Transport
836,20053,Embankment
837,20054,Motor Vehicle In-Transport
838,20055,Motor Vehicle In-Transport
839,20056,Pedestrian
840,20057,Pedestrian
841,20058,Pedestrian
842,20059,Pedestrian
843,20060,Motor Vehicle In-Transport
844,40001,Pedestrian
845,40002,Parked Motor Vehicle
846,40003,Pedestrian
847,40004,Rollover/Overturn
848,40005,Motor Vehicle In-Transport
849,40006,Motor Vehicle In-Transport
850,40007,Tree (Standing Only)
851,40008,Pedestrian
852,40009,Curb
853,40010,Rollover/Overturn
854,40011,Utility Pole/Light Support
855,40012,"Other Post, Other Pole, or Other Supports"
856,40013,Motor Vehicle In-Transport
857,40014,Tree (Standing Only)
858,40015,Motor Vehicle In-Transport
859,40016,Pedestrian
860,40017,Motor Vehicle In-Transport
861,40018,Pedalcyclist
862,40019,Motor Vehicle In-Transport
863,40022,Curb
864,40023,Motor Vehicle In-Transport
865,40024,Motor Vehicle In-Transport
866,40025,Pedestrian
867,40026,Motor Vehicle In-Transport
868,40027,Motor Vehicle In-Transport
869,40028,Motor Vehicle In-Transport
870,40029,Motor Vehicle In-Transport
871,40030,Motor Vehicle In-Transport
872,40031,Rollover/Overturn
873,40032,Pedestrian
874,40033,Motor Vehicle In-Transport
875,40034,Rollover/Overturn
876,40036,Motor Vehicle In-Transport
877,40037,Bridge Rail (Includes Parapet)
878,40038,Motor Vehicle In-Transport
879,40039,Motor Vehicle In-Transport
880,40040,Tree (Standing Only)
881,40041,Curb
882,40042,Motor Vehicle In-Transport
883,40043,Motor Vehicle In-Transport
884,40044,Guardrail End
885,40045,Motor Vehicle In-Transport
886,40046,Motor Vehicle In-Transport
887,40047,Motor Vehicle In-Transport
888,40048,"Other Post, Other Pole, or Other Supports"
889,40049,Motor Vehicle In-Transport
890,40050,Pedestrian
891,40051,Other Fixed Object
892,40052,Curb
893,40053,Motor Vehicle In-Transport
894,40054,Pedestrian
